group,feature,loading,used_in_pca,observed_pct,explained_variance_pct
PCA1_shooting_standard,shooting_goals_per90,0.4615690372178494,True,100.0,50.365586161603424
PCA1_shooting_standard,shots_per90,0.37359614660318285,True,100.0,50.365586161603424
PCA1_shooting_standard,shots_on_target_per90,0.4242003314719172,True,100.0,50.365586161603424
PCA1_shooting_standard,shots_on_target_pct,0.27189528660606743,True,91.95121951219512,50.365586161603424
PCA1_shooting_standard,goals_per_shot,0.35832444316012724,True,91.95121951219512,50.365586161603424
PCA1_shooting_standard,goals_per_shot_on_target,0.23746063803150294,True,84.8780487804878,50.365586161603424
PCA1_shooting_standard,penalties_scored_per90,0.3203300891975243,True,100.0,50.365586161603424
PCA1_shooting_standard,penalty_attempts_per90,0.3257478285421447,True,100.0,50.365586161603424
PCA2_team_success,points_per_match,0.4741791531800589,True,100.0,68.6044736805789
PCA2_team_success,team_goals_for_per90,0.4559835335936212,True,100.0,68.6044736805789
PCA2_team_success,team_goals_against_per90,-0.4614539008262634,True,100.0,68.6044736805789
PCA2_team_success,plus_minus_per90,0.5342674403963941,True,100.0,68.6044736805789
PCA2_team_success,on_off_per90,0.2623961648451203,True,98.78048780487805,68.6044736805789
PCA3_misc_performance,yellow_cards_per90,0.413447852258654,True,100.0,23.566090592130625
PCA3_misc_performance,red_cards_per90,0.21013491806090678,True,100.0,23.566090592130625
PCA3_misc_performance,second_yellow_cards_per90,0.2114457570887284,True,100.0,23.566090592130625
PCA3_misc_performance,fouls_committed_per90,0.42847853316880935,True,100.0,23.566090592130625
PCA3_misc_performance,fouls_drawn_per90,0.31238565276919883,True,100.0,23.566090592130625
PCA3_misc_performance,offsides_per90,-0.07167840892419919,True,100.0,23.566090592130625
PCA3_misc_performance,crosses_per90,0.1293919910868497,True,100.0,23.566090592130625
PCA3_misc_performance,interceptions_per90,0.40879968434015745,True,100.0,23.566090592130625
PCA3_misc_performance,tackles_won_per90,0.5157767755634786,True,100.0,23.566090592130625
PCA3_misc_performance,own_goals_per90,-0.06319245406128099,True,100.0,23.566090592130625
