player,team,position,position_group,age,minutes,PC1,PC2,PC3,observed_features,imputed_features,distance_per90,sprints_per90,intensive_runs_per90,duels_won_per90,aerial_duels_won_per90,tackles_won_per90,interceptions_per90,fouls_committed_per90,fouls_drawn_per90,crosses_per90,top_speed_kmh
Alexis Claude-Maurice,Augsburg,"MF,FW",MF,27.0,2097.0,0.7345994949196383,-0.15624255762062506,-1.2145632139013516,11,0,11.223175965665236,12.57510729613734,68.75536480686695,11.587982832618026,0.7296137339055794,1.1158798283261802,0.34334763948497854,0.9871244635193133,1.8025751072961373,2.7896995708154506,33.18
Anton Kade,Augsburg,"MF,FW",MF,21.0,1743.0,1.4006304787863955,0.35300088272850444,-0.9107068636224158,11,0,11.364888123924269,24.061962134251292,91.96213425129088,12.082616179001722,2.2203098106712567,0.7228915662650602,0.6712564543889845,1.0327022375215147,0.9294320137693631,1.1359724612736661,34.41
Arthur Chaves,Augsburg / Hoffenheim,DF,DF,24.0,1069.0,0.40204985830580947,0.5691041685760262,0.7122078865475686,5,6,,,,,,1.5154349859681946,0.9260991580916744,1.0944808231992516,0.9260991580916744,0.25257249766136575,
Cedric Zesiger,Augsburg,DF,DF,27.0,1816.0,-0.29016894567613977,0.44348389197987553,0.5806877535299599,11,0,10.689977973568283,15.115638766519824,54.56497797356828,8.920704845814978,2.6762114537444934,1.1894273127753303,0.8425110132158591,0.8920704845814978,0.7929515418502202,1.6850220264317182,33.57
Chrislain Matsima,Augsburg,DF,DF,23.0,1489.0,-0.8409806251984885,0.8666109161456479,1.778714336813964,11,0,10.480859637340497,14.204163868368033,49.503022162525184,9.00604432505037,2.5990597716588315,0.6648757555406313,1.8132975151108126,0.6044325050369376,0.24177300201477503,0.24177300201477503,35.28
Dimitris Giannoulis,Augsburg,MF,MF,29.0,1888.0,1.432212270044116,-1.5018824634317816,0.7253149148393033,11,0,10.463453389830509,25.026483050847457,71.79025423728814,8.914194915254237,0.9057203389830508,0.9533898305084746,1.0010593220338984,0.7627118644067796,0.9533898305084746,4.719279661016949,35.66
Elias Saad,Augsburg,"MF,FW",MF,25.0,497.0,3.0266758024701335,0.8191737177493462,-2.3567762214609114,11,0,13.219315895372233,22.997987927565394,105.75452716297787,14.486921529175051,0.9054325955734407,1.448692152917505,0.18108651911468812,1.448692152917505,2.1730382293762576,1.6297786720321932,32.17
Elvis Rexhbeçaj,Augsburg,MF,MF,27.0,1118.0,-0.5073170214984586,-0.5104681292603451,-0.8067043503984992,11,0,12.437388193202146,11.511627906976743,57.6386404293381,8.130590339892665,1.2075134168157424,0.6440071556350626,0.3220035778175313,1.0465116279069768,1.2880143112701252,1.2880143112701252,31.47
Fabian Rieder,Augsburg,MF,MF,23.0,2343.0,1.881029632284371,-0.8261495997405852,-0.9101806208324188,11,0,11.842509603072983,18.284250960307297,82.62483994878362,9.871959026888604,0.9218950064020487,0.7682458386683739,0.499359795134443,1.7285531370038412,1.4596670934699103,4.4558258642765685,34.18
Finn Dahmen,Augsburg,GK,GK,27.0,3060.0,-6.085629899318457,-0.6573366542799222,-1.3109642924003082,9,2,6.2176470588235295,0.23529411764705882,3.9705882352941178,,,0.0,0.0,0.0,0.2647058823529412,0.0,28.27
Han-Noah Massengo,Augsburg,MF,MF,24.0,2427.0,0.017363195463273303,0.007467115939123554,0.5049725651344567,11,0,11.425216316440052,15.203955500618047,71.79233621755253,9.27070457354759,0.8158220024721878,0.6674907292954264,1.3349814585908528,0.927070457354759,0.8529048207663782,0.630407911001236,33.07
Jeffrey Gouweleeuw,Augsburg,DF,DF,34.0,848.0,-1.5960976188083793,0.8427717555966521,1.597353057439923,11,0,10.06132075471698,9.233490566037736,38.632075471698116,8.38443396226415,2.4410377358490565,1.0613207547169812,1.3797169811320755,0.7429245283018868,0.31839622641509435,0.5306603773584906,33.46
Keven Schlotterbeck,Augsburg,DF,DF,28.0,2031.0,-1.4856855799687652,2.387698417075337,0.7350326697607795,11,0,10.134416543574593,6.602658788774003,37.09010339734121,10.14771048744461,3.7666174298375186,1.1078286558345642,1.4623338257016247,1.1078286558345642,0.8862629246676514,0.2658788774002954,32.55
Kristijan Jakić,Augsburg,"MF,DF",MF,28.0,1653.0,-0.21537200594444575,0.5406927308528022,0.5669531535378581,11,0,11.738656987295826,13.82940108892922,62.28675136116153,9.038112522686026,1.4156079854809438,1.3611615245009074,0.925589836660617,0.925589836660617,0.925589836660617,0.2177858439201452,31.78
Marius Wolf,Augsburg,MF,MF,30.0,1019.0,0.47046478340291964,-1.2444170324504003,1.3857349319150507,11,0,11.764474975466142,18.812561334641806,74.45534838076546,8.125613346418056,0.7948969578017664,0.8832188420019627,1.1481844946025515,0.8832188420019627,0.17664376840039253,3.79784102060844,33.16
Mert Kömür,Augsburg,"MF,FW",MF,20.0,1464.0,1.2755417969177187,-0.9112389100837008,-0.5048643428082741,11,0,12.190573770491802,18.07377049180328,83.29918032786885,8.60655737704918,1.1065573770491803,0.7991803278688525,0.4918032786885246,1.598360655737705,1.1065573770491803,3.6885245901639343,32.76
