group,feature,loading,observed_pct,imputation_median,explained_variance_pct
physical,distance_per90,0.3554488582001265,95.02762430939227,11.24040990045875,79.34167089719074
physical,sprints_per90,0.43076316655845226,94.7513812154696,15.333031264159493,79.34167089719074
physical,intensive_runs_per90,0.4358594471098778,95.02762430939227,68.80734019811028,79.34167089719074
physical,top_speed_kmh,0.3497257488083044,95.02762430939227,33.355000000000004,79.34167089719074
physical,sprints_per_km,0.4192888569217789,94.7513812154696,1.3463514902363825,79.34167089719074
physical,intensive_runs_per_km,0.4472298078030259,95.02762430939227,5.9976037150482036,79.34167089719074
offensive,goals_per90,0.45130160308507644,100.0,0.09532215654483778,47.34162388007107
offensive,assists_per90,0.29909335449008756,100.0,0.07365098753799576,47.34162388007107
offensive,shots_per90,0.4745344428459642,100.0,1.0189912384560738,47.34162388007107
offensive,shots_on_target_per90,0.4844449859926152,100.0,0.318208713914261,47.34162388007107
offensive,crosses_per90,0.13075488213201678,100.0,0.9491540010671808,47.34162388007107
offensive,fouls_drawn_per90,0.24000788329386905,100.0,0.8530624136522313,47.34162388007107
offensive,offsides_per90,0.33098866163063434,100.0,0.08898305084745764,47.34162388007107
offensive,penalty_attempts_per90,0.25049157486748586,100.0,0.0,47.34162388007107
defensive,duels_won_per90,0.36481964719538595,88.67403314917127,9.198606271777004,36.69485351068009
defensive,aerial_duels_won_per90,0.31382785285314785,88.39779005524862,1.4152426430472205,36.69485351068009
defensive,tackles_won_per90,0.4581683177186938,100.0,0.8747104627667439,36.69485351068009
defensive,interceptions_per90,0.39597292010224105,100.0,0.7442142096296318,36.69485351068009
defensive,fouls_committed_per90,0.4566705434593894,100.0,0.981140527297327,36.69485351068009
defensive,yellow_cards_per90,0.439497392159327,100.0,0.16510045093552295,36.69485351068009
