player;team;season;league;fbref_standard_nation;fbref_standard_pos;fbref_standard_age;fbref_standard_born;fbref_standard_playing_time_mp;fbref_standard_playing_time_starts;fbref_standard_playing_time_min;fbref_standard_playing_time_90s;fbref_standard_performance_gls;fbref_standard_performance_ast;fbref_standard_performance_g_plus_a;fbref_standard_performance_g_pk;fbref_standard_performance_pk;fbref_standard_performance_pkatt;fbref_standard_performance_crdy;fbref_standard_performance_crdr;fbref_standard_per_90_minutes_gls;fbref_standard_per_90_minutes_ast;fbref_standard_per_90_minutes_g_plus_a;fbref_standard_per_90_minutes_g_pk;fbref_standard_per_90_minutes_g_plus_a_pk;fbref_shooting_nation;fbref_shooting_pos;fbref_shooting_age;fbref_shooting_born;fbref_shooting_90s;fbref_shooting_standard_gls;fbref_shooting_standard_sh;fbref_shooting_standard_sot;fbref_shooting_standard_sotpct;fbref_shooting_standard_sh_per_90;fbref_shooting_standard_sot_per_90;fbref_shooting_standard_g_per_sh;fbref_shooting_standard_g_per_sot;fbref_shooting_standard_pk;fbref_shooting_standard_pkatt;fbref_playing_time_nation;fbref_playing_time_pos;fbref_playing_time_age;fbref_playing_time_born;fbref_playing_time_playing_time_mp;fbref_playing_time_playing_time_min;fbref_playing_time_playing_time_mn_per_mp;fbref_playing_time_playing_time_minpct;fbref_playing_time_playing_time_90s;fbref_playing_time_starts_starts;fbref_playing_time_starts_mn_per_start;fbref_playing_time_starts_compl;fbref_playing_time_subs_subs;fbref_playing_time_subs_mn_per_sub;fbref_playing_time_subs_unsub;fbref_playing_time_team_success_ppm;fbref_playing_time_team_success_ong;fbref_playing_time_team_success_onga;fbref_playing_time_team_success_plus_minus;fbref_playing_time_team_success_plus_minus90;fbref_playing_time_team_success_on_off;fbref_misc_nation;fbref_misc_pos;fbref_misc_age;fbref_misc_born;fbref_misc_90s;fbref_misc_performance_crdy;fbref_misc_performance_crdr;fbref_misc_performance_2crdy;fbref_misc_performance_fls;fbref_misc_performance_fld;fbref_misc_performance_off;fbref_misc_performance_crs;fbref_misc_performance_int;fbref_misc_performance_tklw;fbref_misc_performance_og;fbref_keeper_nation;fbref_keeper_pos;fbref_keeper_age;fbref_keeper_born;fbref_keeper_playing_time_mp;fbref_keeper_playing_time_starts;fbref_keeper_playing_time_min;fbref_keeper_playing_time_90s;fbref_keeper_performance_ga;fbref_keeper_performance_ga90;fbref_keeper_performance_sota;fbref_keeper_performance_saves;fbref_keeper_performance_savepct;fbref_keeper_performance_w;fbref_keeper_performance_d;fbref_keeper_performance_l;fbref_keeper_performance_cs;fbref_keeper_performance_cspct;fbref_keeper_penalty_kicks_pkatt;fbref_keeper_penalty_kicks_pka;fbref_keeper_penalty_kicks_pksv;fbref_keeper_penalty_kicks_pkm;fbref_keeper_penalty_kicks_savepct
Maxime Delanghe;Cercle Brugge;2526;BEL-Belgian Pro League;BEL;GK;24;2001;18;17;1591;17,7;0;0;0;0;0;0;1;0;0,0;0,0;0,0;0,0;0,0;BEL;GK;24;2001;17,7;0;0;0;;0,0;0,0;;;0;0;BEL;GK;24;2001;18;1591;88;49,1;17,7;17;89;16;1;79;16;0,67;21;31;-10;-0,57;-0,84;BEL;GK;24;2001;17,7;1;0;0;1;6;0;0;0;0;0;BEL;GK;24;2001;18;17;1591;17,7;31;1,75;82;51;62,2;2;6;9;3;17,6;3;3;0;0;0,0
Nils De Wilde;Cercle Brugge;2526;BEL-Belgian Pro League;BEL;MF;22;2003;10;0;99;1,1;0;0;0;0;0;0;1;0;0,0;0,0;0,0;0,0;0,0;BEL;MF;22;2003;1,1;0;2;1;50,0;1,82;0,91;0,0;0,0;0;0;BEL;MF;22;2003;10;99;10;3,1;1,1;0;;0;10;10;26;1,2;2;2;0;0,0;0,14;BEL;MF;22;2003;1,1;1;0;0;1;2;1;6;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Oluwaseun Adewumi;Cercle Brugge;2526;BEL-Belgian Pro League;AUT;FW,MF;20;2005;32;16;1591;17,7;5;0;5;5;0;0;2;0;0,28;0,0;0,28;0,28;0,28;AUT;FW,MF;20;2005;17,7;5;57;24;42,1;3,22;1,36;0,09;0,21;0;0;AUT;FW,MF;20;2005;32;1591;50;49,1;17,7;16;76;6;16;23;1;1,16;25;33;-8;-0,45;-0,62;AUT;FW,MF;20;2005;17,7;2;0;0;16;21;12;21;7;7;0;;;;;;;;;;;;;;;;;;;;;;;
Oumar Diakité;Cercle Brugge;2526;BEL-Belgian Pro League;CIV;FW;21;2003;25;15;1424;15,8;7;0;7;6;1;1;4;1;0,44;0,0;0,44;0,38;0,38;CIV;FW;21;2003;15,8;7;39;18;46,2;2,46;1,14;0,18;0,39;1;1;CIV;FW;21;2003;25;1424;57;44,0;15,8;15;78;4;10;26;1;1,04;27;28;-1;-0,06;0,14;CIV;FW;21;2003;15,8;4;1;0;30;21;22;12;1;10;0;;;;;;;;;;;;;;;;;;;;;;;
Pieter Gerkens;Cercle Brugge;2526;BEL-Belgian Pro League;BEL;MF;29;1995;35;31;2830;31,4;6;1;7;5;1;1;2;0;0,19;0,03;0,22;0,16;0,19;BEL;MF;29;1995;31,4;6;41;16;39,0;1,3;0,51;0,15;0,38;1;1;BEL;MF;29;1995;35;2830;81;87,3;31,4;31;87;23;4;36;1;1,17;47;49;-2;-0,06;0,59;BEL;MF;29;1995;31,4;2;0;0;26;12;2;48;32;24;0;;;;;;;;;;;;;;;;;;;;;;;
Royer Caicedo;Cercle Brugge;2526;BEL-Belgian Pro League;COL;DF;19;2006;2;1;76;0,8;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;COL;DF;19;2006;0,8;0;2;1;50,0;2,37;1,18;0,0;0,0;0;0;COL;DF;19;2006;2;76;38;2,3;0,8;1;59;0;1;17;8;1,5;1;2;-1;-1,18;-1,07;COL;DF;19;2006;0,8;0;0;0;1;0;0;0;2;1;0;;;;;;;;;;;;;;;;;;;;;;;
Sebbe Gheerardyns;Cercle Brugge;2526;BEL-Belgian Pro League;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEL;DF;20;2005;0;;;;;0;;0;0;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Steve Ngoura;Cercle Brugge;2526;BEL-Belgian Pro League;FRA;FW;20;2005;34;26;2075;23,1;7;4;11;5;2;3;2;0;0,3;0,17;0,48;0,22;0,39;FRA;FW;20;2005;23,1;7;72;24;33,3;3,12;1,04;0,1;0,29;2;3;FRA;FW;20;2005;34;2075;61;64,0;23,1;26;71;3;8;28;1;1,12;31;31;0;0,0;0,39;FRA;FW;20;2005;23,1;2;0;0;29;43;28;21;2;9;0;;;;;;;;;;;;;;;;;;;;;;;
Valy Konaté;Cercle Brugge;2526;BEL-Belgian Pro League;CIV;DF,MF;18;2006;13;9;824;9,2;0;0;0;0;0;0;2;0;0,0;0,0;0,0;0,0;0,0;CIV;DF,MF;18;2006;9,2;0;3;1;33,3;0,33;0,11;0,0;0,0;0;0;CIV;DF,MF;18;2006;13;824;63;25,4;9,2;9;86;7;4;12;7;1,54;19;13;6;0,66;1,07;CIV;DF,MF;18;2006;9,2;2;0;0;10;10;2;28;20;29;0;;;;;;;;;;;;;;;;;;;;;;;
Warleson;Cercle Brugge;2526;BEL-Belgian Pro League;BRA;GK;28;1996;19;18;1557;17,3;0;0;0;0;0;0;2;1;0,0;0,0;0,0;0,0;0,0;BRA;GK;28;1996;17,3;0;0;0;;0,0;0,0;;;0;0;BRA;GK;28;1996;19;1557;82;48,1;17,3;18;86;17;1;18;16;1,53;31;23;8;0,46;1,16;BRA;GK;28;1996;17,3;2;1;0;1;4;0;0;0;0;0;BRA;GK;28;1996;19;18;1557;17,3;27;1,56;95;68;71,6;8;5;5;5;27,8;2;2;0;0;0,0
