player;team;season;league;fbref_standard_nation;fbref_standard_pos;fbref_standard_age;fbref_standard_born;fbref_standard_playing_time_mp;fbref_standard_playing_time_starts;fbref_standard_playing_time_min;fbref_standard_playing_time_90s;fbref_standard_performance_gls;fbref_standard_performance_ast;fbref_standard_performance_g_plus_a;fbref_standard_performance_g_pk;fbref_standard_performance_pk;fbref_standard_performance_pkatt;fbref_standard_performance_crdy;fbref_standard_performance_crdr;fbref_standard_per_90_minutes_gls;fbref_standard_per_90_minutes_ast;fbref_standard_per_90_minutes_g_plus_a;fbref_standard_per_90_minutes_g_pk;fbref_standard_per_90_minutes_g_plus_a_pk;fbref_shooting_nation;fbref_shooting_pos;fbref_shooting_age;fbref_shooting_born;fbref_shooting_90s;fbref_shooting_standard_gls;fbref_shooting_standard_sh;fbref_shooting_standard_sot;fbref_shooting_standard_sotpct;fbref_shooting_standard_sh_per_90;fbref_shooting_standard_sot_per_90;fbref_shooting_standard_g_per_sh;fbref_shooting_standard_g_per_sot;fbref_shooting_standard_pk;fbref_shooting_standard_pkatt;fbref_playing_time_nation;fbref_playing_time_pos;fbref_playing_time_age;fbref_playing_time_born;fbref_playing_time_playing_time_mp;fbref_playing_time_playing_time_min;fbref_playing_time_playing_time_mn_per_mp;fbref_playing_time_playing_time_minpct;fbref_playing_time_playing_time_90s;fbref_playing_time_starts_starts;fbref_playing_time_starts_mn_per_start;fbref_playing_time_starts_compl;fbref_playing_time_subs_subs;fbref_playing_time_subs_mn_per_sub;fbref_playing_time_subs_unsub;fbref_playing_time_team_success_ppm;fbref_playing_time_team_success_ong;fbref_playing_time_team_success_onga;fbref_playing_time_team_success_plus_minus;fbref_playing_time_team_success_plus_minus90;fbref_playing_time_team_success_on_off;fbref_misc_nation;fbref_misc_pos;fbref_misc_age;fbref_misc_born;fbref_misc_90s;fbref_misc_performance_crdy;fbref_misc_performance_crdr;fbref_misc_performance_2crdy;fbref_misc_performance_fls;fbref_misc_performance_fld;fbref_misc_performance_off;fbref_misc_performance_crs;fbref_misc_performance_int;fbref_misc_performance_tklw;fbref_misc_performance_og;fbref_keeper_nation;fbref_keeper_pos;fbref_keeper_age;fbref_keeper_born;fbref_keeper_playing_time_mp;fbref_keeper_playing_time_starts;fbref_keeper_playing_time_min;fbref_keeper_playing_time_90s;fbref_keeper_performance_ga;fbref_keeper_performance_ga90;fbref_keeper_performance_sota;fbref_keeper_performance_saves;fbref_keeper_performance_savepct;fbref_keeper_performance_w;fbref_keeper_performance_d;fbref_keeper_performance_l;fbref_keeper_performance_cs;fbref_keeper_performance_cspct;fbref_keeper_penalty_kicks_pkatt;fbref_keeper_penalty_kicks_pka;fbref_keeper_penalty_kicks_pksv;fbref_keeper_penalty_kicks_pkm;fbref_keeper_penalty_kicks_savepct
Nacho Vidal;Oviedo;2526;ESP-La Liga;ESP;DF;30;1995;29;27;2263;25,1;0;0;0;0;0;0;4;0;0,0;0,0;0,0;0,0;0,0;ESP;DF;30;1995;25,1;0;15;3;20,0;0,6;0,12;0,0;0,0;0;0;ESP;DF;30;1995;29;2263;78;66,2;25,1;27;83;16;2;16;2;0,79;18;32;-14;-0,56;1,0;ESP;DF;30;1995;25,1;4;0;0;24;27;1;40;29;30;0;;;;;;;;;;;;;;;;;;;;;;;
Nicolas Fonseca;Oviedo;2526;ESP-La Liga;URU;MF;26;1998;19;12;1018;11,3;0;0;0;0;0;0;6;0;0,0;0,0;0,0;0,0;0,0;URU;MF;26;1998;11,3;0;8;1;12,5;0,71;0,09;0,0;0,0;0;0;URU;MF;26;1998;19;1018;54;29,8;11,3;12;70;2;7;25;1;0,84;13;22;-9;-0,8;0,14;URU;MF;26;1998;11,3;6;0;0;27;12;0;4;17;25;0;;;;;;;;;;;;;;;;;;;;;;;
Oier Luengo;Oviedo;2526;ESP-La Liga;ESP;DF;27;1997;3;3;225;2,5;0;1;1;0;0;0;1;0;0,0;0,4;0,4;0,0;0,4;ESP;DF;27;1997;2,5;0;1;0;0,0;0,4;0,0;0,0;;0;0;ESP;DF;27;1997;3;225;75;6,6;2,5;3;75;2;0;;12;0,25;2;6;-4;-1,6;-0,75;ESP;DF;27;1997;2,5;1;0;0;2;1;0;0;2;5;0;;;;;;;;;;;;;;;;;;;;;;;
Omar Falah;Oviedo;2526;ESP-La Liga;ESP;DF;21;2003;1;0;14;0,2;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;ESP;DF;21;2003;0,2;0;0;0;;0,0;0,0;;;0;0;ESP;DF;21;2003;1;14;14;0,4;0,2;0;;0;1;14;3;0,0;0;0;0;0,0;0,9;ESP;DF;21;2003;0,2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Ovie Ejaria;Oviedo;2526;ESP-La Liga;ENG;MF;27;1997;8;2;200;2,2;0;0;0;0;0;0;1;0;0,0;0,0;0,0;0,0;0,0;ENG;MF;27;1997;2,2;0;3;1;33,3;1,35;0,45;0,0;0,0;0;0;ENG;MF;27;1997;8;200;25;5,8;2,2;2;54;0;6;15;5;0,75;2;3;-1;-0,45;0,47;ENG;MF;27;1997;2,2;1;0;0;3;5;1;1;3;2;0;;;;;;;;;;;;;;;;;;;;;;;
Pablo Agudín;Oviedo;2526;ESP-La Liga;ESP;MF;17;2007;7;0;90;1,0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;ESP;MF;17;2007;1,0;0;2;0;0,0;2,0;0,0;0,0;;0;0;ESP;MF;17;2007;7;90;13;2,6;1,0;0;;0;7;13;18;0,43;0;3;-3;-3,0;-2,16;ESP;MF;17;2007;1,0;0;0;0;4;1;0;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Rahim Bonkano;Oviedo;2526;ESP-La Liga;NIG;DF;23;2002;27;18;1713;19,0;0;0;0;0;0;0;2;0;0,0;0,0;0,0;0,0;0,0;NIG;DF;23;2002;19,0;0;3;0;0,0;0,16;0,0;0,0;;0;0;NIG;DF;23;2002;27;1713;63;50,1;19,0;18;86;14;9;19;9;0,78;9;32;-23;-1,21;-0,63;NIG;DF;23;2002;19,0;2;0;0;10;8;9;68;29;19;0;;;;;;;;;;;;;;;;;;;;;;;
Salomón Rondón;Oviedo;2526;ESP-La Liga;VEN;FW;35;1989;16;13;1032;11,5;2;0;2;2;0;1;2;0;0,17;0,0;0,17;0,17;0,17;VEN;FW;35;1989;11,5;2;24;5;20,8;2,09;0,44;0,08;0,4;0;1;VEN;FW;35;1989;16;1032;65;30,2;11,5;13;75;4;3;18;1;0,69;6;17;-11;-0,96;-0,09;VEN;FW;35;1989;11,5;2;0;0;11;21;12;2;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Santi Cazorla;Oviedo;2526;ESP-La Liga;ESP;MF;40;1984;28;6;940;10,4;0;1;1;0;0;0;2;1;0,0;0,1;0,1;0,0;0,1;ESP;MF;40;1984;10,4;0;7;1;14,3;0,67;0,1;0,0;0,0;0;0;ESP;MF;40;1984;28;940;34;27,5;10,4;6;73;1;22;23;4;0,68;4;16;-12;-1,15;-0,35;ESP;MF;40;1984;10,4;2;1;0;6;19;0;71;4;10;0;;;;;;;;;;;;;;;;;;;;;;;
Santiago Colombatto;Oviedo;2526;ESP-La Liga;ARG;MF;28;1997;32;23;2064;22,9;0;1;1;0;0;0;6;0;0,0;0,04;0,04;0,0;0,04;ARG;MF;28;1997;22,9;0;15;2;13,3;0,65;0,09;0,0;0,0;0;0;ARG;MF;28;1997;32;2064;65;60,4;22,9;23;81;8;9;22;4;0,75;12;34;-22;-0,96;-0,16;ARG;MF;28;1997;22,9;6;0;0;44;41;1;67;14;22;0;;;;;;;;;;;;;;;;;;;;;;;
