group,feature,loading,used_in_pca,observed_pct,explained_variance_pct
PCA1_shooting_standard,shooting_goals_per90,0.45751020595306946,True,100.0,51.75082167007892
PCA1_shooting_standard,shots_per90,0.35378339259057234,True,100.0,51.75082167007892
PCA1_shooting_standard,shots_on_target_per90,0.4146329425812256,True,100.0,51.75082167007892
PCA1_shooting_standard,shots_on_target_pct,0.2962569570839474,True,93.92265193370166,51.75082167007892
PCA1_shooting_standard,goals_per_shot,0.3565102057359429,True,93.92265193370166,51.75082167007892
PCA1_shooting_standard,goals_per_shot_on_target,0.18973732359014836,True,86.46408839779005,51.75082167007892
PCA1_shooting_standard,penalties_scored_per90,0.3411779364776399,True,100.0,51.75082167007892
PCA1_shooting_standard,penalty_attempts_per90,0.355430580824866,True,100.0,51.75082167007892
PCA2_team_success,points_per_match,0.48499558729159514,True,100.0,68.86057947384117
PCA2_team_success,team_goals_for_per90,0.48124388176265365,True,100.0,68.86057947384117
PCA2_team_success,team_goals_against_per90,-0.4430897064270791,True,100.0,68.86057947384117
PCA2_team_success,plus_minus_per90,0.5336720480691327,True,100.0,68.86057947384117
PCA2_team_success,on_off_per90,0.22814307734786976,True,96.68508287292818,68.86057947384117
PCA3_misc_performance,yellow_cards_per90,0.4756277321420655,True,100.0,24.156640366494905
PCA3_misc_performance,red_cards_per90,0.41614864532116835,True,100.0,24.156640366494905
PCA3_misc_performance,second_yellow_cards_per90,0.4356919238804261,True,100.0,24.156640366494905
PCA3_misc_performance,fouls_committed_per90,0.3524048002530956,True,100.0,24.156640366494905
PCA3_misc_performance,fouls_drawn_per90,0.1781115179609603,True,100.0,24.156640366494905
PCA3_misc_performance,offsides_per90,-0.07711177454336507,True,100.0,24.156640366494905
PCA3_misc_performance,crosses_per90,0.013026941797468416,True,100.0,24.156640366494905
PCA3_misc_performance,interceptions_per90,0.32651387425518025,True,100.0,24.156640366494905
PCA3_misc_performance,tackles_won_per90,0.3764611387716695,True,100.0,24.156640366494905
PCA3_misc_performance,own_goals_per90,-0.02019977069502643,True,100.0,24.156640366494905
