league,season,player,team,position,position_group,age,minutes,PC1,PC2,PC3,pca1_shooting_score,pca2_team_success_score,pca3_misc_performance_score,observed_features,imputed_features,pca1_observed_features,pca1_imputed_features,pca2_observed_features,pca2_imputed_features,pca3_observed_features,pca3_imputed_features,shooting_goals_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,goals_per_shot,goals_per_shot_on_target,penalties_scored_per90,penalty_attempts_per90,points_per_match,team_goals_for_per90,team_goals_against_per90,plus_minus_per90,on_off_per90,yellow_cards_per90,red_cards_per90,second_yellow_cards_per90,fouls_committed_per90,fouls_drawn_per90,offsides_per90,crosses_per90,interceptions_per90,tackles_won_per90,own_goals_per90
GER-Bundesliga,2025-2026,Alexis Claude-Maurice,Augsburg,"MF,FW",MF,27.0,2097.0,0.9711309366090589,-0.5827178742624046,-0.11972233651323713,0.9711309366090589,-0.5827178742624046,-0.11972233651323713,23,0,8,0,5,0,10,0,0.2145922746781116,3.0472103004291844,1.1158798283261802,36.61971830985916,0.07042253521126761,0.19230769230769232,0.04291845493562232,0.08583690987124463,1.28,1.2446351931330473,1.8454935622317596,-0.6008583690987125,-0.41,0.12875536480686695,0.0,0.0,0.9871244635193133,1.8025751072961373,0.04291845493562232,2.7896995708154506,0.34334763948497854,1.1158798283261802,0.0
GER-Bundesliga,2025-2026,Anton Kade,Augsburg,"MF,FW",MF,21.0,1743.0,0.7583931321839789,-0.6276900415267931,-0.3798888165752071,0.7583931321839789,-0.6276900415267931,-0.3798888165752071,23,0,8,0,5,0,10,0,0.3098106712564544,2.478485370051635,1.0843373493975903,43.75,0.125,0.2857142857142857,0.0,0.0,1.29,1.1359724612736661,1.8072289156626506,-0.6712564543889845,-0.47,0.1549053356282272,0.0,0.0,1.0327022375215147,0.9294320137693631,0.5163511187607573,1.1359724612736661,0.6712564543889845,0.7228915662650602,0.0
GER-Bundesliga,2025-2026,Arthur Chaves,Augsburg / Hoffenheim,DF,DF,24.0,1069.0,0.5970391132125236,-0.07047981500643209,0.2104351233954159,0.5970391132125236,-0.07047981500643209,0.2104351233954159,23,0,8,0,5,0,10,0,0.16838166510757718,0.42095416276894293,0.16838166510757718,40.0,0.4,1.0,0.0,0.0,1.4475584658559402,1.431244153414406,1.5996258185219832,-0.16838166510757718,0.1793732460243218,0.16838166510757718,0.0,0.0,1.0944808231992516,0.9260991580916744,0.0,0.25257249766136575,0.9260991580916744,1.5154349859681946,0.08419083255378859
GER-Bundesliga,2025-2026,Cedric Zesiger,Augsburg,DF,DF,27.0,1816.0,-0.9651007918660869,-0.6448541662070923,0.3383071523437505,-0.9651007918660869,-0.6448541662070923,0.3383071523437505,23,0,8,0,5,0,10,0,0.0,0.5947136563876652,0.1486784140969163,25.0,0.0,0.0,0.0,0.0,1.38,1.2885462555066078,1.9823788546255507,-0.6938325991189427,-0.55,0.34691629955947134,0.0,0.0,0.8920704845814978,0.7929515418502202,0.0,1.6850220264317182,0.8425110132158591,1.1894273127753303,0.04955947136563876
GER-Bundesliga,2025-2026,Chrislain Matsima,Augsburg,DF,DF,23.0,1489.0,-0.36635203006909145,-0.6756708960378289,0.16938004782349522,-0.36635203006909145,-0.6756708960378289,0.16938004782349522,23,0,8,0,5,0,10,0,0.06044325050369376,0.4231027535258563,0.06044325050369376,14.285714285714285,0.14285714285714285,1.0,0.0,0.0,1.11,1.3901947615849564,1.9946272666218938,-0.6044325050369376,-0.26,0.3022162525184688,0.0,0.0,0.6044325050369376,0.24177300201477503,0.0,0.24177300201477503,1.8132975151108126,0.6648757555406313,0.0
GER-Bundesliga,2025-2026,Dimitris Giannoulis,Augsburg,MF,MF,29.0,1888.0,0.08922007010484696,-0.24765081016868148,0.35198621734143504,0.08922007010484696,-0.24765081016868148,0.35198621734143504,23,0,8,0,5,0,10,0,0.09533898305084745,0.4766949152542373,0.2860169491525424,60.0,0.2,0.3333333333333333,0.0,0.0,1.37,1.5254237288135593,1.8591101694915255,-0.3336864406779661,0.36,0.3813559322033898,0.0,0.0,0.7627118644067796,0.9533898305084746,0.1906779661016949,4.719279661016949,1.0010593220338984,0.9533898305084746,0.0
GER-Bundesliga,2025-2026,Elias Saad,Augsburg,"MF,FW",MF,25.0,497.0,-0.44114306843759765,-1.0794796979410908,0.2157337150662337,-0.44114306843759765,-1.0794796979410908,0.2157337150662337,23,0,8,0,5,0,10,0,0.0,1.0865191146881288,0.5432595573440644,50.0,0.0,0.0,0.0,0.0,1.0,1.6297786720321932,2.535211267605634,-0.9054325955734407,-0.52,0.18108651911468812,0.0,0.0,1.448692152917505,2.1730382293762576,0.7243460764587525,1.6297786720321932,0.18108651911468812,1.448692152917505,0.0
GER-Bundesliga,2025-2026,Elvis Rexhbeçaj,Augsburg,MF,MF,27.0,1118.0,0.14498091790040352,-0.03332191582108954,-0.023416412067778426,0.14498091790040352,-0.03332191582108954,-0.023416412067778426,23,0,8,0,5,0,10,0,0.16100178890876565,0.8855098389982111,0.40250447227191416,45.45454545454545,0.18181818181818182,0.4,0.0,0.0,1.31,1.6100178890876566,1.6905187835420394,-0.08050089445438283,0.61,0.3220035778175313,0.0,0.0,1.0465116279069768,1.2880143112701252,0.08050089445438283,1.2880143112701252,0.3220035778175313,0.6440071556350626,0.0
GER-Bundesliga,2025-2026,Fabian Rieder,Augsburg,MF,MF,23.0,2343.0,0.7646175827431775,-0.7226719833662635,0.0551095774327906,0.7646175827431775,-0.7226719833662635,0.0551095774327906,23,0,8,0,5,0,10,0,0.23047375160051217,1.4596670934699103,0.499359795134443,34.21052631578947,0.15789473684210525,0.46153846153846156,0.07682458386683738,0.07682458386683738,1.25,1.382842509603073,2.0358514724711907,-0.6530089628681178,-0.78,0.15364916773367476,0.0,0.0,1.7285531370038412,1.4596670934699103,0.07682458386683738,4.4558258642765685,0.499359795134443,0.7682458386683739,0.0
GER-Bundesliga,2025-2026,Finn Dahmen,Augsburg,GK,GK,27.0,3060.0,-1.2471545823790848,-0.4279233976959168,-1.7358833636348368,-1.2471545823790848,-0.4279233976959168,-1.7358833636348368,21,2,7,1,4,1,10,0,0.0,0.029411764705882353,0.0,0.0,0.0,,0.0,0.0,1.26,1.3235294117647058,1.7941176470588236,-0.47058823529411764,,0.029411764705882353,0.0,0.0,0.0,0.2647058823529412,0.0,0.0,0.0,0.0,0.0
